check_id,dataset,field,expected,actual,status,note
CMP-001,student_performance,rows,102,102,Pass,
CMP-002,student_performance,columns,12,12,Pass,
CMP-003,student_performance,status,success_with_warnings,success_with_warnings,Pass,
CMP-004,student_performance,profile_version,0.2-proposed,0.2,Divergence,version label only
CMP-005,student_performance,duplicates.count,2,2,Pass,
CMP-006,student_performance,duplicates.percentage,1.96,1.96,Pass,
CMP-007,student_performance,missing_values (all columns),match,match,Pass,
CMP-008,student_performance,column set,identical,identical,Pass,
CMP-009,student_performance,student_id.inferred_type,identifier,identifier,Pass,
CMP-010,student_performance,student_id.missing_count,0,0,Pass,
CMP-011,student_performance,student_id.missing_percentage,0.0,0,Pass,
CMP-012,student_performance,student_id.unique_count,100,100,Pass,
CMP-013,student_performance,student_id.unique_percentage,98.04,98.04,Pass,
CMP-014,student_performance,student_id.warnings,"[""numeric-looking identifier: not summarized as a measure""]","[""numeric-looking identifier: not summarized as a measure""]",Pass,
CMP-015,student_performance,age.inferred_type,numeric,numeric,Pass,
CMP-016,student_performance,age.missing_count,0,0,Pass,
CMP-017,student_performance,age.missing_percentage,0.0,0,Pass,
CMP-018,student_performance,age.unique_count,6,6,Pass,
CMP-019,student_performance,age.unique_percentage,5.88,5.88,Pass,
CMP-020,student_performance,age.numeric_summary.count,102,102,Pass,
CMP-021,student_performance,age.numeric_summary.mean,20.2843,20.2843,Pass,
CMP-022,student_performance,age.numeric_summary.median,20.0,20,Pass,
CMP-023,student_performance,age.numeric_summary.min,18.0,18,Pass,
CMP-024,student_performance,age.numeric_summary.max,23.0,23,Pass,
CMP-025,student_performance,age.numeric_summary.q1,19.0,19,Pass,
CMP-026,student_performance,age.numeric_summary.q3,21.0,21,Pass,
CMP-027,student_performance,age.numeric_summary.std,1.3525,1.3525,Pass,
CMP-028,student_performance,gender.inferred_type,categorical,categorical,Pass,
CMP-029,student_performance,gender.missing_count,2,2,Pass,
CMP-030,student_performance,gender.missing_percentage,1.96,1.96,Pass,
CMP-031,student_performance,gender.unique_count,3,3,Pass,
CMP-032,student_performance,gender.unique_percentage,2.94,2.94,Pass,
CMP-033,student_performance,gender.categorical_summary(presence),True,True,Pass,
CMP-034,student_performance,gender.warnings,"[""inconsistent_category_spelling: labels differ only by capitalization""]","[""inconsistent_category_spelling: labels differ only by capitalization""]",Pass,
CMP-035,student_performance,department.inferred_type,categorical,categorical,Pass,
CMP-036,student_performance,department.missing_count,0,0,Pass,
CMP-037,student_performance,department.missing_percentage,0.0,0,Pass,
CMP-038,student_performance,department.unique_count,5,5,Pass,
CMP-039,student_performance,department.unique_percentage,4.9,4.9,Pass,
CMP-040,student_performance,department.categorical_summary(presence),True,True,Pass,
CMP-041,student_performance,department.warnings,"[""inconsistent_category_spelling: labels differ only by capitalization""]","[""inconsistent_category_spelling: labels differ only by capitalization""]",Pass,
CMP-042,student_performance,attendance_percentage.inferred_type,numeric,numeric,Pass,
CMP-043,student_performance,attendance_percentage.missing_count,3,3,Pass,
CMP-044,student_performance,attendance_percentage.missing_percentage,2.94,2.94,Pass,
CMP-045,student_performance,attendance_percentage.unique_count,85,85,Pass,
CMP-046,student_performance,attendance_percentage.unique_percentage,83.33,83.33,Pass,
CMP-047,student_performance,attendance_percentage.numeric_summary.count,99,99,Pass,
CMP-048,student_performance,attendance_percentage.numeric_summary.mean,79.1495,79.1495,Pass,
CMP-049,student_performance,attendance_percentage.numeric_summary.median,79.7,79.7,Pass,
CMP-050,student_performance,attendance_percentage.numeric_summary.min,58.0,58,Pass,
CMP-051,student_performance,attendance_percentage.numeric_summary.max,104.5,104.5,Pass,
CMP-052,student_performance,attendance_percentage.numeric_summary.q1,66.85,66.85,Pass,
CMP-053,student_performance,attendance_percentage.numeric_summary.q3,91.9,91.9,Pass,
CMP-054,student_performance,attendance_percentage.numeric_summary.std,13.1747,13.1747,Pass,
CMP-055,student_performance,study_hours_per_week.inferred_type,numeric,numeric,Pass,
CMP-056,student_performance,study_hours_per_week.missing_count,0,0,Pass,
CMP-057,student_performance,study_hours_per_week.missing_percentage,0.0,0,Pass,
CMP-058,student_performance,study_hours_per_week.unique_count,11,11,Pass,
CMP-059,student_performance,study_hours_per_week.unique_percentage,10.78,10.78,Pass,
CMP-060,student_performance,study_hours_per_week.numeric_summary.count,102,102,Pass,
CMP-061,student_performance,study_hours_per_week.numeric_summary.mean,11.8824,11.8824,Pass,
CMP-062,student_performance,study_hours_per_week.numeric_summary.median,12.0,12,Pass,
CMP-063,student_performance,study_hours_per_week.numeric_summary.min,4.0,4,Pass,
CMP-064,student_performance,study_hours_per_week.numeric_summary.max,48.0,48,Pass,
CMP-065,student_performance,study_hours_per_week.numeric_summary.q1,8.0,8,Pass,
CMP-066,student_performance,study_hours_per_week.numeric_summary.q3,14.75,14.75,Pass,
CMP-067,student_performance,study_hours_per_week.numeric_summary.std,6.3188,6.3188,Pass,
CMP-068,student_performance,assignment_score.inferred_type,text,text,Pass,
CMP-069,student_performance,assignment_score.missing_count,0,0,Pass,
CMP-070,student_performance,assignment_score.missing_percentage,0.0,0,Pass,
CMP-071,student_performance,assignment_score.unique_count,49,49,Pass,
CMP-072,student_performance,assignment_score.unique_percentage,48.04,48.04,Pass,
CMP-073,student_performance,assignment_score.categorical_summary(presence),True,True,Pass,
CMP-074,student_performance,assignment_score.warnings,"[""mixed_type: 1 non-numeric value(s) among 101 numeric value(s); classified conservatively as text""]","[""mixed_type: 1 non-numeric value(s) among 101 numeric value(s); classified conservatively as text""]",Pass,
CMP-075,student_performance,exam_score.inferred_type,numeric,numeric,Pass,
CMP-076,student_performance,exam_score.missing_count,4,4,Pass,
CMP-077,student_performance,exam_score.missing_percentage,3.92,3.92,Pass,
CMP-078,student_performance,exam_score.unique_count,45,45,Pass,
CMP-079,student_performance,exam_score.unique_percentage,44.12,44.12,Pass,
CMP-080,student_performance,exam_score.numeric_summary.count,98,98,Pass,
CMP-081,student_performance,exam_score.numeric_summary.mean,65.9388,65.9388,Pass,
CMP-082,student_performance,exam_score.numeric_summary.median,65.5,65.5,Pass,
CMP-083,student_performance,exam_score.numeric_summary.min,38.0,38,Pass,
CMP-084,student_performance,exam_score.numeric_summary.max,98.0,98,Pass,
CMP-085,student_performance,exam_score.numeric_summary.q1,48.0,48,Pass,
CMP-086,student_performance,exam_score.numeric_summary.q3,84.0,84,Pass,
CMP-087,student_performance,exam_score.numeric_summary.std,19.03,19.03,Pass,
CMP-088,student_performance,final_grade.inferred_type,categorical,categorical,Pass,
CMP-089,student_performance,final_grade.missing_count,0,0,Pass,
CMP-090,student_performance,final_grade.missing_percentage,0.0,0,Pass,
CMP-091,student_performance,final_grade.unique_count,4,4,Pass,
CMP-092,student_performance,final_grade.unique_percentage,3.92,3.92,Pass,
CMP-093,student_performance,final_grade.categorical_summary(presence),True,True,Pass,
CMP-094,student_performance,scholarship_status.inferred_type,boolean,boolean,Pass,
CMP-095,student_performance,scholarship_status.missing_count,0,0,Pass,
CMP-096,student_performance,scholarship_status.missing_percentage,0.0,0,Pass,
CMP-097,student_performance,scholarship_status.unique_count,2,2,Pass,
CMP-098,student_performance,scholarship_status.unique_percentage,1.96,1.96,Pass,
CMP-099,student_performance,academic_year.inferred_type,categorical,categorical,Pass,
CMP-100,student_performance,academic_year.missing_count,0,0,Pass,
CMP-101,student_performance,academic_year.missing_percentage,0.0,0,Pass,
CMP-102,student_performance,academic_year.unique_count,1,1,Pass,
CMP-103,student_performance,academic_year.unique_percentage,0.98,0.98,Pass,
CMP-104,student_performance,academic_year.categorical_summary(presence),True,True,Pass,
CMP-105,student_performance,academic_year.warnings,"[""constant_column: single distinct value; carries no variation""]","[""constant_column: single distinct value; carries no variation""]",Pass,
CMP-106,student_performance,notes.inferred_type,categorical,categorical,Pass,
CMP-107,student_performance,notes.missing_count,27,27,Pass,
CMP-108,student_performance,notes.missing_percentage,26.47,26.47,Pass,
CMP-109,student_performance,notes.unique_count,45,45,Pass,
CMP-110,student_performance,notes.unique_percentage,44.12,44.12,Pass,
CMP-111,student_performance,notes.categorical_summary(presence),True,True,Pass,
CMP-112,student_performance,anomalies[study_hours_per_week].potential_outliers,2,2,Pass,
